ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
242,Steven,Benda,9,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,428971,0.0
243,Tom,Cairney,9,3,0,0,0,0.05,0,1,0,26,0,0,0.00,0.05,0.94,76357,0.0
244,Timothy,Castagne,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,166477,0.0
245,Issa,Diop,9,2,0,0,2,0.00,0,1,0,90,0,1,0.00,0.00,2.43,219924,2.0
246,Luke,Harris,9,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,515024,0.0
247,Alex,Iwobi,9,3,0,0,2,0.15,0,1,0,90,0,1,0.04,0.19,2.43,153133,2.0
248,Bernd,Leno,9,1,0,0,3,0.00,0,1,0,90,0,1,0.00,0.00,2.43,80201,3.0
249,Saša,Lukić,9,3,0,0,2,0.01,0,1,0,90,0,1,0.00,0.01,1.77,212314,2.0
250,Kevin,Mbabu,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,120721,0.0
251,Rodrigo,Muniz Carvalho,9,4,0,0,2,0.00,1,0,0,77,0,1,0.11,0.11,1.57,244042,2.0
252,Raúl,Jiménez,9,4,0,0,1,0.00,0,1,0,12,0,0,0.00,0.00,0.87,102057,1.0
253,Tim,Ream,9,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,82514,0.0
254,Harrison,Reed,9,3,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.67,153366,1.0
255,Antonee,Robinson,9,2,0,0,2,0.01,0,1,0,90,0,1,0.00,0.01,2.43,169528,2.0
256,Jay,Stansfield,9,4,0,0,1,0.00,0,0,0,1,0,0,0.00,0.00,0.67,490146,1.0
257,Kenny,Tete,9,2,0,0,2,0.00,0,1,0,90,0,1,0.09,0.09,2.43,167074,2.0
258,Carlos Vinícius,Alves Morais,9,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,245824,0.0
259,Harry,Wilson,9,3,0,0,1,0.01,0,1,0,12,0,0,0.00,0.01,0.87,153682,1.0
260,Ali,Al-Hamadi,10,4,0,0,1,0.00,0,0,0,16,0,0,0.00,0.00,0.58,462387,1.0
261,Elkan,Baggott,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,517178,0.0
262,Nathan,Broadhead,10,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,173818,0.0
263,Cameron,Burgess,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,122411,0.0
264,Wes,Burns,10,3,0,0,0,0.00,0,0,0,56,0,1,0.00,0.00,0.46,149929,0.0
265,Conor,Chaplin,10,3,0,0,2,0.01,0,1,0,64,0,1,0.00,0.01,1.45,196411,2.0
266,Harry,Clarke,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232228,0.0
267,Leif,Davis,10,2,0,0,1,0.02,0,2,0,90,0,1,0.00,0.02,2.65,455084,1.0
268,Liam,Delap,10,4,0,0,2,0.00,0,2,0,73,0,1,0.00,0.00,2.07,463034,2.0
269,George,Edmundson,10,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,214964,0.0
270,Jacob,Greaves,10,2,0,0,1,0.00,0,2,0,90,0,1,0.10,0.10,2.65,449429,1.0
271,Marcus,Myers-Harness,10,3,0,0,1,0.03,0,1,0,25,0,0,0.00,0.03,1.21,167191,1.0
272,George,Hirst,10,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,222625,0.0
273,Cameron,Humphreys,10,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,524180,0.0
274,Omari,Giraud-Hutchinson,10,3,0,0,1,0.02,0,2,0,90,0,1,0.27,0.29,2.65,503301,1.0
275,Ben,Johnson,10,2,0,0,0,0.00,0,2,0,33,0,0,0.00,0.00,2.19,222018,0.0
